Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
273,-170.4,-170.4,-169.82956,-183.2,-182.7,-182.83489,-0.57044,-0.57044,-0.36511,0.13489,0.32541,0.32541,0.1333,0.0182,0.0004232,0.0004232,0.0001733,0.0000237
274,-170.3,-170.3,-170.10551,-183.2,-182.7,-182.88214,-0.19449,-0.19449,-0.31786,0.18214,0.03783,0.03783,0.10104,0.03317,0.0000492,0.0000492,0.0001314,0.0000431
275,-170.3,-170.3,-170.38147,-183.2,-182.7,-182.92799,0.08147,0.08147,-0.27201,0.22799,0.00664,0.00664,0.07399,0.05198,0.0000086,0.0000086,0.0000962,0.0000676
276,-170.6,-170.6,-170.65742,-183.2,-182.7,-182.97383,0.05742,0.05742,-0.22617,0.27383,0.0033,0.0033,0.05115,0.07498,0.0000043,0.0000043,0.0000665,0.0000975
277,-170.9,-170.9,-170.96902,-183.2,-182.7,-183.01968,0.06902,0.06902,-0.18032,0.31968,0.00476,0.00476,0.03252,0.10219,0.0000062,0.0000062,0.0000423,0.0001329
278,-171.2,-171.2,-171.28106,-183.1,-182.7,-183.06553,0.08106,0.08106,-0.03447,0.36553,0.00657,0.00657,0.00119,0.13361,0.0000085,0.0000085,0.0000015,0.0001737
279,-171.3,-171.3,-171.5931,-183.1,-182.7,-183.11288,0.2931,0.2931,0.01288,0.41288,0.08591,0.08591,0.00017,0.17047,0.0001117,0.0001117,0.0000002,0.0002217
280,-171.4,-171.4,-171.95404,-183.1,-182.8,-183.16152,0.55404,0.55404,0.06152,0.36152,0.30696,0.30696,0.00378,0.1307,0.0003992,0.0003992,0.0000049,0.00017
281,-171.6,-171.6,-172.31646,-183.1,-182.8,-183.21016,0.71646,0.71646,0.11016,0.41016,0.51331,0.51331,0.01214,0.16823,0.0006675,0.0006675,0.0000158,0.0002188
282,-171.9,-171.9,-172.67888,-183.1,-182.8,-183.25881,0.77888,0.77888,0.15881,0.45881,0.60666,0.60666,0.02522,0.2105,0.0007889,0.0007889,0.0000328,0.0002737
283,-172.3,-172.3,-173.0413,-183.1,-182.8,-183.30745,0.7413,0.7413,0.20745,0.50745,0.54953,0.54953,0.04304,0.25751,0.0007146,0.0007146,0.000056,0.0003349
284,-172.6,-172.6,-173.49021,-183,-182.9,-183.35609,0.89021,0.89021,0.35609,0.45609,0.79248,0.79248,0.1268,0.20802,0.0010305,0.0010305,0.0001649,0.0002705
285,-172.9,-172.9,-173.95561,-183,-182.9,-183.40474,1.05561,1.05561,0.40474,0.50474,1.11431,1.11431,0.16381,0.25476,0.001449,0.001449,0.000213,0.0003313
286,-173.2,-173.2,-174.37089,-183,-182.9,-183.45338,1.17089,1.17089,0.45338,0.55338,1.37098,1.37098,0.20555,0.30623,0.0017828,0.0017828,0.0002673,0.0003982
287,-173.4,-173.4,-174.75964,-183,-182.9,-183.50202,1.35964,1.35964,0.50202,0.60202,1.84861,1.84861,0.25203,0.36243,0.0024039,0.0024039,0.0003277,0.0004713
288,-173.7,-173.7,-175.11732,-183,-183,-183.55066,1.41732,1.41732,0.55066,0.55066,2.00878,2.00878,0.30323,0.30323,0.0026122,0.0026122,0.0003943,0.0003943
289,-174.2,-174.2,-175.49518,-183,-183,-183.57913,1.29518,1.29518,0.57913,0.57913,1.67749,1.67749,0.33539,0.33539,0.0021814,0.0021814,0.0004361,0.0004361
290,-174.8,-174.8,-175.7973,-183.1,-183,-183.60194,0.9973,0.9973,0.50194,0.60194,0.99461,0.99461,0.25195,0.36234,0.0012934,0.0012934,0.0003276,0.0004712
291,-175.4,-175.4,-176.06106,-183.1,-183.1,-183.62476,0.66106,0.66106,0.52476,0.52476,0.437,0.437,0.27537,0.27537,0.0005683,0.0005683,0.0003581,0.0003581
292,-175.9,-175.9,-176.30878,-183.1,-183.1,-183.64757,0.40878,0.40878,0.54757,0.54757,0.1671,0.1671,0.29983,0.29983,0.0002173,0.0002173,0.0003899,0.0003899
293,-176.5,-176.5,-176.54214,-183.1,-183.1,-183.68103,0.04214,0.04214,0.58103,0.58103,0.00178,0.00178,0.33759,0.33759,0.0000023,0.0000023,0.000439,0.000439
294,-177.1,-177.1,-176.73025,-183.1,-183.2,-183.71596,-0.36975,-0.36975,0.61596,0.51596,0.13672,0.13672,0.37941,0.26622,0.0001778,0.0001778,0.0004934,0.0003462
295,-177.5,-177.5,-176.90307,-183.2,-183.2,-183.75123,-0.59693,-0.59693,0.55123,0.55123,0.35632,0.35632,0.30385,0.30385,0.0004634,0.0004634,0.0003951,0.0003951
296,-177.8,-177.8,-177.03049,-183.2,-183.3,-183.78685,-0.76951,-0.76951,0.58685,0.48685,0.59215,0.59215,0.34439,0.23702,0.00077,0.00077,0.0004478,0.0003082
297,-178.1,-178.1,-177.12486,-183.3,-183.3,-183.79903,-0.97514,-0.97514,0.49903,0.49903,0.9509,0.9509,0.24903,0.24903,0.0012365,0.0012365,0.0003238,0.0003238
298,-178.4,-178.4,-177.16845,-183.3,-183.3,-183.78873,-1.23155,-1.23155,0.48873,0.48873,1.51671,1.51671,0.23885,0.23885,0.0019723,0.0019723,0.0003106,0.0003106
299,-178.8,-178.8,-177.21205,-183.4,-183.4,-183.77786,-1.58795,-1.58795,0.37786,0.37786,2.52159,2.52159,0.14278,0.14278,0.0032791,0.0032791,0.0001857,0.0001857
300,-179,-179,-177.23952,-183.4,-183.4,-183.767,-1.76048,-1.76048,0.367,0.367,3.0993,3.0993,0.13469,0.13469,0.0040303,0.0040303,0.0001751,0.0001751
301,-179.2,-179.2,-177.22147,-183.5,-183.5,-183.75614,-1.97853,-1.97853,0.25614,0.25614,3.91459,3.91459,0.06561,0.06561,0.0050905,0.0050905,0.0000853,0.0000853
302,-179.3,-179.3,-177.16957,-183.5,-183.5,-183.74528,-2.13043,-2.13043,0.24528,0.24528,4.53872,4.53872,0.06016,0.06016,0.0059021,0.0059021,0.0000782,0.0000782
303,-179.3,-179.3,-177.11782,-183.6,-183.5,-183.73441,-2.18218,-2.18218,0.13441,0.23441,4.76191,4.76191,0.01807,0.05495,0.0061923,0.0061923,0.0000235,0.0000715
304,-179.2,-179.2,-177.06626,-183.6,-183.6,-183.72355,-2.13374,-2.13374,0.12355,0.12355,4.55284,4.55284,0.01526,0.01526,0.0059205,0.0059205,0.0000199,0.0000199
305,-178.9,-178.9,-177.0147,-183.7,-183.6,-183.71269,-1.8853,-1.8853,0.01269,0.11269,3.55435,3.55435,0.00016,0.0127,0.004622,0.004622,0.0000002,0.0000165
306,-178.7,-178.7,-176.96314,-183.7,-183.7,-183.70183,-1.73686,-1.73686,0.00183,0.00183,3.01667,3.01667,0,0,0.0039228,0.0039228,0,0
307,-178.5,-178.5,-176.91484,-183.8,-183.7,-183.66834,-1.58516,-1.58516,-0.13166,-0.03166,2.51273,2.51273,0.01733,0.001,0.0032675,0.0032675,0.0000225,0.0000013
308,-178.4,-178.4,-176.86861,-183.8,-183.7,-183.61091,-1.53139,-1.53139,-0.18909,-0.08909,2.34514,2.34514,0.03575,0.00794,0.0030496,0.0030496,0.0000465,0.0000103
309,-178.3,-178.3,-176.82239,-183.8,-183.8,-183.54832,-1.47761,-1.47761,-0.25168,-0.25168,2.18334,2.18334,0.06335,0.06335,0.0028392,0.0028392,0.0000824,0.0000824
310,-178.3,-178.3,-176.83006,-183.9,-183.8,-183.48572,-1.46994,-1.46994,-0.41428,-0.31428,2.16073,2.16073,0.17163,0.09877,0.0028098,0.0028098,0.0002232,0.0001284
311,-178.3,-178.3,-176.84219,-183.9,-183.8,-183.42312,-1.45781,-1.45781,-0.47688,-0.37688,2.12522,2.12522,0.22741,0.14204,0.0027636,0.0027636,0.0002957,0.0001847
312,-178.4,-178.4,-176.85431,-183.9,-183.9,-183.34928,-1.54569,-1.54569,-0.55072,-0.55072,2.38915,2.38915,0.3033,0.3033,0.0031068,0.0031068,0.0003944,0.0003944
313,-178.5,-178.5,-176.87995,-183.9,-183.9,-183.24135,-1.62005,-1.62005,-0.65865,-0.65865,2.62456,2.62456,0.43382,0.43382,0.0034129,0.0034129,0.0005641,0.0005641
314,-178.5,-178.5,-176.9467,-183.9,-183.9,-183.13342,-1.5533,-1.5533,-0.76658,-0.76658,2.41275,2.41275,0.58764,0.58764,0.0031375,0.0031375,0.0007642,0.0007642
315,-178.5,-178.5,-177.01344,-183.9,-183.9,-183.02549,-1.48656,-1.48656,-0.87451,-0.87451,2.20985,2.20985,0.76476,0.76476,0.0028737,0.0028737,0.0009945,0.0009945
316,-178.5,-178.5,-177.08019,-183.9,-183.9,-182.94436,-1.41981,-1.41981,-0.95564,-0.95564,2.01586,2.01586,0.91325,0.91325,0.0026214,0.0026214,0.0011876,0.0011876
317,-178.5,-178.5,-177.14694,-183.9,-184,-182.93271,-1.35306,-1.35306,-0.96729,-1.06729,1.83078,1.83078,0.93565,1.13911,0.0023807,0.0023807,0.0012167,0.0014813
